Condition	GE_Tool	gRNA	NGS_Code	WinEdit	Win40_gCenter	Primer	gRNA_Strand	gRNA_win	Read1	Read2
doxY	ABE-max	gRNA.eGFP.32	87	87-91	64-103	1884+1885	reverse	73-94	87_202204053_S100_L001_R1_001.fastq.gz	87_202204053_S100_L001_R2_001.fastq.gz
doxY	CO-CBE	gRNA.eGFP.32	90	84-92	64-103	1884+1885	reverse	73-94	90_202204053_S86_L001_R1_001.fastq.gz	90_202204053_S86_L001_R2_001.fastq.gz
